ISO,Policy,score,rank
LBR,H3_Contact tracing,0.0976171253381233,1
LBR,C2_Workplace closing,0.0970331837354495,2
LBR,H6_Facial Coverings,0.0933027825682261,3
LBR,C8_International travel controls,0.0783673672072338,4
LBR,H1_Public information campaigns,0.0680385949386424,5
LBR,C1_School closing,0.061093117712806,6
LBR,H7_Vaccination policy,0.0600124862006549,7
LBR,C4_Restrictions on gatherings,0.0586977186142843,8
LBR,C6_Stay at home requirements,0.0516321771097875,9
LBR,E1_Income support,0.0408905758005014,10
LBR,C7_Restrictions on internal movement,0.0373580652980152,11
LBR,C3_Cancel public events,0.0365357730898489,12
LBR,E2_Debt/contract relief,0.033665523740527,13
LBR,H2_Testing policy,0.0306289495545608,14
LBR,C5_Close public transport,0.0,15
